Game Genre,Game Categories,Day 1,Day 7,Day 28
Action,Casual,29.7,6.67,1.72
Adventure,Casual,30.55,7.11,1.93
Arcade,Casual,29.23,7.79,2.06
Casual,Casual,30.52,7.17,1.87
Puzzle,Casual,32.4,11.67,4.54
Board,Classic,26.59,10.83,4.54
Card,Classic,28.57,13.18,5.95
Casino,Classic,30.19,11.56,4.1
Trivia,Classic,27.84,8.08,3.4
Word,Classic,31.69,14.47,6.77
Multiplayer,Mid-core,33.5,9.73,2.46
Role playing,Mid-core,31.4,7.26,1.72
Simulation,Mid-core,31.84,8.06,1.94
Strategy,Mid-core,33.26,10.73,3.06
Racing,Mid-core,28.67,7.3,1.82
